Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
Who's Afraid of Virginia Woolf?,1966,131 min,8,75,78696,N/A
Secrets & Lies,1996,136 min,8,92,46173,13.42M
Persepolis,2007,96 min,8,90,98541,4.45M
Stalag 17,1953,120 min,8,84,57764,N/A
The Tale of The Princess Kaguya,2013,137 min,8,89,51587,1.51M
Song of the Sea,2014,93 min,8,85,61885,0.86M
The Diving Bell and the Butterfly,2007,112 min,8,92,109669,5.99M
Elite Squad,2007,115 min,8,N/A,108276,0.01M
My Sassy Girl,2001,137 min,8,N/A,49875,N/A
The Sea Inside,2004,126 min,8,74,84301,2.09M
"Quo Vadis, Aida?",2020,101 min,8,97,37084,N/A
Sweet Smell of Success,1957,96 min,8,100,34769,N/A
Brief Encounter,1945,86 min,8,92,42980,N/A
Dilwale Dulhania Le Jayenge,1995,181 min,8,N/A,74961,N/A
Nobody Knows,2004,141 min,8,88,30268,0.68M
Sleuth,1972,138 min,8,N/A,49482,4.08M
"Black Cat, White Cat",1998,127 min,8,73,55695,0.35M
Cries & Whispers,1972,91 min,8,N/A,36191,1.74M
"Spring, Summer, Fall, Winter... and Spring",2003,103 min,8,85,85749,2.38M
The Exterminating Angel,1962,95 min,8,N/A,34881,N/A
The Virgin Spring,1960,89 min,8,N/A,30996,1.53M
The Wild Pear Tree,2018,188 min,8,86,26638,0.03M
Ivan's Childhood,1962,95 min,8,N/A,38957,N/A
Kind Hearts and Coronets,1949,106 min,8,N/A,39083,N/A
La strada,1954,108 min,8,N/A,65667,N/A
Departures,2008,130 min,8,68,54187,1.50M
"Goodbye, Children",1987,104 min,8,88,35540,4.54M
Haider,2014,160 min,8,N/A,56747,0.90M
Central Station,1998,110 min,8,80,41530,5.60M
Sanjuro,1962,96 min,8,N/A,40284,N/A
Elite Squad 2: The Enemy Within,2010,115 min,8,71,85652,0.10M
"Rome, Open City",1945,103 min,8,N/A,28283,N/A
Tae Guk Gi: The Brotherhood of War,2004,140 min,8,64,40720,1.11M
Winter Light,1963,81 min,8,N/A,26486,N/A
M.S. Dhoni: The Untold Story,2016,184 min,8,N/A,65569,1.78M
G.O.R.A.,2004,127 min,8,N/A,65633,N/A
Vizontele,2001,110 min,8,N/A,38147,N/A
